"GeoName","FIPS","Y2002","Y2003","Y2004","Y2005","Y2006","Y2007","Y2008","Y2009","Y2010","Y2011","Y2013","Y2014","Y2015","Y2016","Y2017"
"Columbus, IN","18020","-0.0266","0.0211","0.0745","0.0237","0.0657","0.0451","0.012","-0.177","0.1542","0.0481","0.017","0.0226","0.0104","-0.0026","0.0352"
"Columbus, OH","18140","0.0308","-1e-04","0.0152","0.0143","-0.0027","0.0139","-0.0191","-0.0333","0.021","0.0286","0.0162","0.0238","0.0373","0.0221","0.0208"
"Corpus Christi, TX","18580","0.0286","0.0332","0.0593","-0.061","0.018","0.0707","0.008","0.0291","0.0238","0.0328","0.0995","-0.0082","-0.0228","-0.0283","-0.04"
"Corvallis, OR","18700","0.2144","0.0981","0.2606","0.0089","0.1985","0.0517","0.103","-0.0111","0.0637","-0.0227","-0.0932","-0.027","-0.0268","0.0302","0.0268"
"Crestview-Fort Walton Beach-Destin, FL","18880","0.1355","0.0918","0.066","0.0669","0.0323","-0.013","-0.0284","-0.0335","-0.0338","0.0286","-0.0729","0.0668","0.0484","0.0159","0.0349"
"Cumberland, MD-WV","19060","0.0338","0.0041","-0.0092","0.0162","0.0096","-0.0266","0.0185","0.0269","0.0488","0.0038","-0.0179","-0.0068","-0.004","0.0061","0.0125"
"Dallas-Fort Worth-Arlington, TX","19100","0.04","-0.0027","0.0535","0.0209","0.0493","0.0434","0.0015","-0.0287","0.0442","0.0319","0.0538","0.0458","0.0547","0.0155","0.0388"
"Dalton, GA","19140","0.0351","0.0205","0.1818","0.0247","-0.0545","0.0492","-0.0497","-0.1079","-0.0521","6e-04","0.03","0.0588","0.0227","0.0473","0.0043"
"Danville, IL","19180","-0.0073","0.0743","0.0069","-0.0214","0.0214","-0.0287","0.007","-0.0349","0.0178","0.0095","8e-04","-0.0208","-0.0173","0.016","-0.0169"
"Daphne-Fairhope-Foley, AL","19300","0.0242","0.0298","0.0664","0.0513","0.0564","0.0508","0.0492","-0.0305","0.0251","-0.0022","0.0968","0.021","-0.0356","0.0331","0.024"
"Davenport-Moline-Rock Island, IA-IL","19340","0.0338","0.0248","0.049","0.015","0.0038","0.0168","0.0116","-0.0325","0.0291","0.0177","-0.0461","-0.0169","-0.0187","-0.0104","0.0259"
"Dayton, OH","19380","0.0169","0.0024","0.0128","0.0066","-0.0032","-0.0147","-0.0221","-0.0698","0.0217","0.0262","0.0052","0.016","-0.0023","0.0041","0.0065"
"Decatur, AL","19460","-0.0243","0.0545","0.0786","-0.0095","0.0143","0.0206","-0.0136","-0.0387","0.0041","-0.011","0.0012","-4e-04","-0.0767","0.0248","-0.0015"
"Decatur, IL","19500","-0.0485","0.032","0.0348","0.0259","-0.0011","0.0413","0.0158","-0.0717","0.0253","0.0241","-0.0242","0.0259","-0.0193","-0.0239","-0.0077"
