"FIPS","Metro-Name","Population","PCT female","PCT 0-4","PCT 5-9","PCT 10-14","PCT 15-17","PCT 18-24","PCT 25-34","PCT 35-44","PCT 45-54","PCT 55-64","PCT 65-74","PCT 75-84","PCT 85 plus","PCT married","PCT less than HS","PCT BS plus","PCT MS plus","PCT unemployed","Median HH Income","Gini Index","PCT Occupied Housing","Median Gross Rent","Commute under 10","Commute 10-19","Commute 20-29","Commute 30-39","Commute 40-59","Commute 60-89","Commute 90 plus","PCT Health Insured","PCT Public HI","PCT Private HI"
39860,"Red Wing, Minnesota",46138,50.12,5.73,6.26,6.67,4.1,7.24,11.22,11.33,14.22,15.08,9.73,5.49,2.91,57.6,6.21,24.7,7.6,4.16,62431,0.4332,94.56,779,23.17,24.57,15.14,11.92,11.81,6.26,1.91,93.59,31.79,77
40340,"Rochester, Minnesota",214485,50.73,6.79,6.93,6.96,3.93,7.57,13.56,12.43,13.25,13.29,8.24,4.83,2.23,57.61,6.01,36.91,15.05,3.89,69003,0.4398,93.03,835,18.05,40.16,17.58,10.03,5.42,2.31,1.52,94.88,29.32,79.75
41060,"St. Cloud, Minnesota",194660,49.77,6.56,6.67,6.33,3.85,14,13.2,11.37,12.46,11.88,7.33,4.17,2.16,49.47,7.95,26.08,8.03,4.46,58335,0.4287,92.92,754,20.33,35.54,17.44,9.88,6.08,3.04,2.21,95.43,32.08,76.64
47420,"Wahpeton, Minnesota",6398,49.77,5.35,7.31,5.86,4.38,6.83,10.19,10.93,14.6,16.16,9.24,5.53,3.63,56.05,7.18,20.75,3.89,1.35,52917,0.4082,92.18,496,33.79,24.55,12.07,9.24,11.15,2.43,0.52,94.23,33.83,76.81
48820,"Willmar, Minnesota",42577,49.74,6.74,6.5,7.1,3.75,8.56,12.49,10.69,12.15,14.51,9.32,5.53,2.65,58.01,11.53,22.6,7.32,2.95,56604,0.4315,84.86,709,29.85,34.35,15.56,7.92,3.77,2.43,1.92,94.37,39.29,70.36
49100,"Winona, Minnesota",50992,50.61,4.8,5.03,5.17,3.33,20.43,11.74,9.7,11.51,12.81,8.51,4.91,2.06,45.27,7.22,29.56,10.24,5.12,53975,0.4377,91.1,647,28.11,35.85,11.07,10.86,6.56,2.37,0.82,93.52,28.6,78.17
49380,"Worthington, Minnesota",21854,48.66,8.06,7.01,7.45,4.06,9.44,12.81,11.41,11.65,12.62,7.67,4.72,3.08,52.94,23.66,14.48,4.46,6.45,53267,0.4387,91.89,690,38.71,30.35,11.49,6.51,5.85,1.62,1.28,91.19,36.42,68.98
15020,"Brookhaven, Mississippi",34542,52.25,6.4,6.86,6.83,4.45,8.75,11.84,12.72,13.08,13.21,9.15,5.26,1.45,48.67,13.39,14.97,5.57,7.46,37308,0.4668,83,688,14.03,33.05,12.73,16.15,6.53,8.35,6.35,86.64,39.33,59.18
17260,"Clarksdale, Mississippi",24296,53.89,8.36,8.03,6.82,4.59,10.89,12.47,10.74,11.96,12.44,7.85,3.94,1.9,31.9,21.55,16.95,5.4,19,28728,0.5183,83.57,578,22.37,40.33,11.66,5.71,10.19,5.08,2.93,86,53.31,40.64
17380,"Cleveland, Mississippi",33121,52.86,7.04,6.65,7.18,4.14,11.17,13.86,11.42,12.06,12.31,8.84,3.54,1.78,32.69,23.94,22.93,8.8,12.6,28468,0.5142,85.64,604,32.43,30.64,11.62,12.61,6.57,1.99,1.55,82.51,48.16,42.7
18060,"Columbus, Mississippi",59558,52.1,6.59,7.07,6.28,4.02,10.18,13.58,12.01,12.94,12.83,8.32,4.71,1.48,45.15,15.32,23.61,8.73,11.39,43198,0.458,83.33,750,16.62,40.51,21.47,10.38,4.28,1.35,2.61,86.85,36.99,60.96
18420,"Corinth, Mississippi",37242,50.74,5.7,7.06,6.69,4.27,8.55,11.95,12.4,13.27,12.66,10.3,5.58,1.58,50.09,19.24,15.93,6.89,8.59,38919,0.4479,85.36,607,17.98,42.24,15.11,8.33,6.77,5.38,2.45,84.54,41.49,56.5
24740,"Greenville, Mississippi",48002,53.09,7.69,6.82,7.44,4.48,9.61,12.33,11.22,12.66,13.7,8.46,4.19,1.41,33.58,21.19,18.99,7.33,16.76,29387,0.538,84.42,664,26.91,43.12,12.89,8.13,5.2,1.02,1.53,81.17,47.74,42.31
24900,"Greenwood, Mississippi",40334,52.47,6.88,7.58,7.47,3.87,11.58,11.64,11.12,12,12.68,9.05,4.3,1.84,35.23,20.67,17.49,6.18,10.63,29182,0.5297,76.98,532,20.76,40.59,16.42,7.22,7.63,3.01,2.15,85.64,49.73,45.02
24980,"Grenada, Mississippi",21379,52.77,6.36,5.48,7.91,4.06,9.18,10.9,13.5,12.36,13.45,9.86,5.44,1.49,38.39,21.24,18.09,6.63,10.38,34876,0.47,77.1,626,29.27,43.32,8.88,6.2,4.63,5.09,1.99,87.15,44.21,54.19
25060,"Gulfport-Biloxi-Pascagoula, Mississippi",388082,50.74,6.32,6.69,6.88,4.02,9.23,13.5,12.51,13.43,12.89,8.8,4.35,1.38,46.28,12.97,21.47,7.89,8.91,46951,0.44,83.45,850,12.47,32.63,22.61,16.64,7.8,3.18,2.49,84.04,35.59,61.33
25620,"Hattiesburg, Mississippi",148399,52.18,6.47,7.06,6.53,4,12.52,14.84,12.51,12.12,11.06,7.54,3.92,1.44,44.89,12.22,29.16,11.27,10.63,45546,0.4816,86.74,786,16.1,37.95,19.08,13.43,5.33,2.4,4.29,85.61,34.4,60.83
26940,"Indianola, Mississippi",26915,47.56,6.05,6.21,7.21,3.8,11.09,15.76,12.65,13.3,12,6.94,3.53,1.46,27.43,27.8,14.49,4.81,17.55,28556,0.4848,87.74,608,28.6,35.09,12.37,12.06,7.94,1.68,1.22,82.14,46.58,42.95
27140,"Jackson, Mississippi",578565,52.19,6.48,6.8,7.2,4.26,9.8,14.06,12.94,12.87,12.36,7.82,3.72,1.69,44.14,13.18,29.73,11.71,7.82,49381,0.4797,87.84,838,10.14,28.9,25.26,20.1,8.84,3.14,1.52,88.27,35.19,63.63
29860,"Laurel, Mississippi",84875,51.29,6.98,7.16,6.83,4.09,8.92,12.49,11.47,12.51,13.31,9.31,5.47,1.46,48.76,17.45,17.52,7.54,7.42,37747,0.4817,84.63,644,10.31,35.79,22.52,17.87,7.25,2.77,2.38,87.47,45.41,55.05
32620,"McComb, Mississippi",52337,52.19,6.72,8.23,6.44,4.14,8.37,11.75,11.06,12.29,13.78,9.92,5.26,2.04,43.07,19.79,15.22,5.51,8.51,30772,0.5009,80.28,650,17.27,35.72,14.87,11.08,7.9,5.16,6.32,85.6,46.13,51.18
32820,"Memphis, Mississippi",256163,51.36,6.17,7.14,7.53,4.66,9.09,12.73,13.83,13.83,11.96,8.16,3.74,1.16,48.92,14.02,20.46,6.48,6.6,54522,0.4256,90.42,907,10.3,24.37,22.95,20.94,14.2,3.15,1.51,88.2,30.59,68.57
32940,"Meridian, Mississippi",104392,51.58,5.97,6.63,6.91,3.92,9.49,12.76,11.79,12.88,13.19,9.33,4.78,2.34,43.98,15.6,18.34,6.75,7.47,38774,0.4852,83.39,681,15.28,35.74,22.03,13.83,6.51,2.5,2.77,87.44,40.91,58.66
35020,"Natchez, Mississippi",31583,50.35,6.17,7.3,5.61,4.06,7.75,11.88,11.87,12.98,15.12,9.58,5.57,2.12,37.76,20.46,17.4,6.74,10.95,30359,0.53,78.48,583,31.79,38.96,12.33,4.77,3.99,1.8,2.64,83.68,49.24,46.14
37060,"Oxford, Mississippi",52744,51.44,5.19,5.18,4.96,2.84,24.84,14.54,11.3,9.87,10.1,6.79,3.17,1.22,37.46,10.52,41.85,19.18,5.74,45019,0.5163,80.13,862,25.04,42.22,12.83,6.48,4.22,3.52,2.27,89.72,24.52,74.59
38100,"Picayune, Mississippi",55049,50.76,5.67,6.54,6.71,4.04,9.41,10.93,11.84,13.52,13.71,10.9,4.97,1.76,53.57,15.8,14.96,4.34,10.04,44734,0.4315,82.99,744,12.61,22.35,14.27,14.67,13.31,14.77,5.48,84.71,37.02,62.42
44260,"Starkville, Mississippi",49392,49.67,5.19,5.53,4.11,2.68,31.74,13.95,9.03,8.46,9.03,5.94,3.38,0.97,32.36,11.92,42.58,22.47,9.49,37348,0.5377,80.19,755,22.74,43.83,11.65,8.6,4.06,2.29,2.98,89,25.43,71.66
46180,"Tupelo, Mississippi",139354,51.47,6.69,7.15,7.27,4.35,8.88,12.81,12.85,13.42,12.14,8.32,4.34,1.79,49.57,19.31,19.78,7,6.25,43759,0.4579,87.68,677,11.8,36.74,24.83,15.46,5.65,2.12,1.47,86.8,35.82,61.88
